region,month,rainfall_mm_per_day,temperature_avg_c,relative_humidity_pct
gedo,2006-01-01,0.06228752,29.89054,37.45092
gedo,2006-02-01,0.028918773,30.626947,38.513752
gedo,2006-03-01,0.12861268,30.693977,40.80671
gedo,2006-04-01,4.036059,27.51889,67.56562
gedo,2006-05-01,1.0182332,28.008404,61.952934
gedo,2006-06-01,0.23142195,27.394945,54.336338
gedo,2006-07-01,0.15516864,26.718788,52.09516
gedo,2006-08-01,0.16571428,27.150108,49.564205
gedo,2006-09-01,0.3460161,27.51698,51.548477
gedo,2006-10-01,6.349346,26.945002,63.58343
gedo,2006-11-01,7.596706,25.40586,79.0832
gedo,2006-12-01,1.234886,26.875298,62.897343
gedo,2007-01-01,0.02524021,29.403498,40.559418
gedo,2007-02-01,0.0018120328,30.802795,36.07066
gedo,2007-03-01,0.095841706,30.817104,42.62648
gedo,2007-04-01,3.8774323,28.655107,59.32483
gedo,2007-05-01,1.62175,27.611057,65.71328
gedo,2007-06-01,0.55451596,27.109503,55.326775
gedo,2007-07-01,0.10291817,27.17854,50.239983
gedo,2007-08-01,0.20976244,27.4739,50.975414
gedo,2007-09-01,0.40104383,27.821869,51.699375
gedo,2007-10-01,1.7028025,27.320415,60.892143
gedo,2007-11-01,3.8616688,26.249493,69.56855
gedo,2007-12-01,0.064750426,28.717691,41.929493
gedo,2008-01-01,0.32339564,29.546919,37.889145
gedo,2008-02-01,0.0012011816,29.725613,30.986301
gedo,2008-03-01,0.11425932,30.139729,40.63642
gedo,2008-04-01,2.8478596,28.043512,60.910496
gedo,2008-05-01,1.1078386,27.4319,61.18364
gedo,2008-06-01,0.32821807,25.947044,57.676758
gedo,2008-07-01,0.15207063,26.298977,52.274754
gedo,2008-08-01,0.22331846,26.976456,50.453518
gedo,2008-09-01,0.8124193,27.19518,53.597576
gedo,2008-10-01,1.1609346,28.15411,56.940266
gedo,2008-11-01,2.948454,27.060627,58.429802
gedo,2008-12-01,0.0119766975,29.3639,36.764317
gedo,2009-01-01,0.018084954,29.761189,35.941837
gedo,2009-02-01,0.21555406,30.109447,38.06656
gedo,2009-03-01,0.035666365,30.800913,39.139057
gedo,2009-04-01,2.176013,29.012669,59.08953
gedo,2009-05-01,0.83472455,28.499592,56.81373
gedo,2009-06-01,0.296069,27.798204,53.63524
gedo,2009-07-01,0.21233536,26.642319,51.477913
gedo,2009-08-01,0.10620768,27.108023,48.836006
gedo,2009-09-01,0.048902653,28.350075,45.915745
gedo,2009-10-01,6.629883,26.807291,64.77835
gedo,2009-11-01,1.14555,26.638426,65.02529
gedo,2009-12-01,0.3580895,29.117445,49.02227
gedo,2010-01-01,0.018288126,30.058836,34.122967
gedo,2010-02-01,0.08795259,30.826757,40.41577
gedo,2010-03-01,3.663813,29.09615,58.135933
gedo,2010-04-01,5.915024,27.889462,70.29425
gedo,2010-05-01,0.97214866,27.834162,64.83163
gedo,2010-06-01,0.25759247,27.748692,55.840282
